Character 	Named Entity 	Decimal 	Hexadecimal
	&Rrightarrow; 		&#x21db;
› 	&rsaquo; 	&#8250; 	&#x203a;
	&rscr; 		&#x1d4c7;
	&Rscr; 		&#x211b;
	&Rsh; 		&#x21b1;
	&rsh; 		&#x21b1;
	&rsqb; 		&#x5d;
’ 	&rsquo; 	&#8217; 	&#x2019;
’ 	&rsquor; 	&#8217; 	&#x2019;
	&rthree; 		&#x22cc;
	&rtimes; 		&#x22ca;
	&rtri; 		&#x25b9;
	&rtrie; 		&#x22b5;
	&rtrif; 		&#x25b8;
	&rtriltri; 		&#x29ce;
	&RuleDelayed; 		&#x29f4;
	&ruluhar; 		&#x2968;
	&rx; 		&#x211e;
	&sacute; 		&#x015b;
	&Sacute; 		&#x015a;
‚ 	&sbquo; 	&#8218; 	&#x201a;
	&sc; 		&#x227b;
	&Sc; 		&#x2abc;
	&scap; 		&#x2ab8;
š 	&scaron; 	&#353; 	&#x0161;
Š 	&Scaron; 	&#352; 	&#x0160;
	&sccue; 		&#x227d;
	&sce; 		&#x2ab0;
	&scE; 		&#x2ab4;
	&scedil; 		&#x015f;
	&Scedil; 		&#x015e;
	&scirc; 		&#x015d;
	&Scirc; 		&#x015c;
	&scnap; 		&#x2aba;
	&scnE; 		&#x2ab6;
	&scnsim; 		&#x22e9;
	&scpolint; 		&#x2a13;
	&scsim; 		&#x227f;
	&scy; 		&#x0441;
	&Scy; 		&#x0421;
· 	&sdot; 	&#8901; 	&#x22c5;
	&sdotb; 		&#x22a1;
	&sdote; 		&#x2a66;
	&searhk; 		&#x2925;
	&searr; 		&#x2198;
	&seArr; 		&#x21d8;
	&searrow; 		&#x2198;
§ 	&sect; 	&#167; 	&#xa7;
	&semi; 		&#x3b;
	&seswar; 		&#x2929;
	&setminus; 		&#x2216;
	&setmn; 		&#x2216;
	&sext; 		&#x2736;
	&Sfr; 		&#x1d516;
	&sfr; 		&#x1d530;
	&sfrown; 		&#x2322;
	&sharp; 		&#x266f;
	&shchcy; 		&#x0449;
	&SHCHcy; 		&#x0429;
	&shcy; 		&#x0448;
	&SHcy; 		&#x0428;
? 	&ShortDownArrow; 	&#8595; 	&#x2193;
? 	&ShortLeftArrow; 	&#8592; 	&#x2190;
	&shortmid; 		&#x2223;
	&shortparallel; 		&#x2225;
? 	&ShortRightArrow; 	&#8594; 	&#x2192;
? 	&ShortUpArrow; 	&#8593; 	&#x2191;
	&shy; 	&#173; 	&#xad;
s 	&sigma; 	&#963; 	&#x03c3;
S 	&Sigma; 	&#931; 	&#x03a3;
? 	&sigmaf; 	&#962; 	&#x03c2;
? 	&sigmav; 	&#962; 	&#x03c2;
~ 	&sim; 	&#8764; 	&#x223c;
	&simdot; 		&#x2a6a;
	&sime; 		&#x2243;
	&simeq; 		&#x2243;
	&simg; 		&#x2a9e;
	&simgE; 		&#x2aa0;
	&siml; 		&#x2a9d;
	&simlE; 		&#x2a9f;
ö 	&simne; 	&#246; 	&#x2246;
	&simplus; 		&#x2a24;
	&simrarr; 		&#x2972;
? 	&slarr; 	&#8592; 	&#x2190;
	&SmallCircle; 		&#x2218;
	&smallsetminus; 		&#x2216;
	&smashp; 		&#x2a33;
	&smeparsl; 		&#x29e4;
	&smid; 		&#x2223;
	&smile; 		&#x2323;
	&smt; 		&#x2aaa;
	&smte; 		&#x2aac;
	&SOFTcy; 		&#x042c;
	&softcy; 		&#x044c;
	&sol; 		&#x2f;
	&solb; 		&#x29c4;
	&solbar; 		&#x233f;
	&Sopf; 		&#x1d54a;
	&sopf; 		&#x1d564;
? 	&spades; 	&#9824; 	&#x2660;
? 	&spadesuit; 	&#9824; 	&#x2660;
	&spar; 		&#x2225;
	&sqcap; 		&#x2293;
	&sqcup; 		&#x2294;
v 	&Sqrt; 	&#8730; 	&#x221a;
	&sqsub; 		&#x228f;
	&sqsube; 		&#x2291;
	&sqsubset; 		&#x228f;
	&sqsubseteq; 		&#x2291;
	&sqsup; 		&#x2290;
	&sqsupe; 		&#x2292;
	&sqsupset; 		&#x2290;
	&sqsupseteq; 		&#x2292;
	&squ; 		&#x25a1;
	&square; 		&#x25a1;
	&Square; 		&#x25a1;
	&SquareIntersection; 		&#x2293;
	&SquareSubset; 		&#x228f;
	&SquareSubsetEqual; 		&#x2291;
	&SquareSuperset; 		&#x2290;
	&SquareSupersetEqual; 		&#x2292;
	&SquareUnion; 		&#x2294;
	&squarf; 		&#x25aa;
	&squf; 		&#x25aa;
? 	&srarr; 	&#8594; 	&#x2192;
	&sscr; 		&#x1d4c8;
	&Sscr; 		&#x1d4ae;
	&ssetmn; 		&#x2216;
	&ssmile; 		&#x2323;
ˆ 	&sstarf; 	&#710; 	&#x22c6;
	&star; 		&#x2606;
ˆ 	&Star; 	&#710; 	&#x22c6;
	&starf; 		&#x2605;
	&straightepsilon; 		&#x03f5;
	&straightphi; 		&#x03d5;
	&strns; 		&#xaf;
? 	&sub; 	&#8834; 	&#x2282;
	&Sub; 		&#x22d0;
	&subdot; 		&#x2abd;
? 	&sube; 	&#8838; 	&#x2286;
	&subE; 		&#x2ac5;
	&subedot; 		&#x2ac3;
	&submult; 		&#x2ac1;
	&subne; 		&#x228a;
	&subnE; 		&#x2acb;
	&subplus; 		&#x2abf;
	&subrarr; 		&#x2979;
? 	&subset; 	&#8834; 	&#x2282;
	&Subset; 		&#x22d0;
? 	&subseteq; 	&#8838; 	&#x2286;
	&subseteqq; 		&#x2ac5;
? 	&SubsetEqual; 	&#8838; 	&#x2286;
	&subsetneq; 		&#x228a;
	&subsetneqq; 		&#x2acb;
	&subsim; 		&#x2ac7;
	&subsub; 		&#x2ad5;
	&subsup; 		&#x2ad3;
	&succ; 		&#x227b;
	&succapprox; 		&#x2ab8;
	&succcurlyeq; 		&#x227d;
	&Succeeds; 		&#x227b;
	&SucceedsEqual; 		&#x2ab0;
	&SucceedsSlantEqual; 		&#x227d;
	&SucceedsTilde; 		&#x227f;
	&succeq; 		&#x2ab0;
	&succnapprox; 		&#x2aba;
	&succneqq; 		&#x2ab6;
	&succnsim; 		&#x22e9;
	&succsim; 		&#x227f;
? 	&SuchThat; 	&#8715; 	&#x220b;
? 	&sum; 	&#8721; 	&#x2211;
? 	&Sum; 	&#8721; 	&#x2211;
	&sung; 		&#x266a;
	&sup; 		&#x2283;
	&Sup; 		&#x22d1;
¹ 	&sup1; 	&#185; 	&#xb9;
² 	&sup2; 	&#178; 	&#xb2;
³ 	&sup3; 	&#179; 	&#xb3;
	&supdot; 		&#x2abe;
	&supdsub; 		&#x2ad8;
? 	&supe; 	&#8839; 	&#x2287;
	&supE; 		&#x2ac6;
	&supedot; 		&#x2ac4;
? 	&Superset; 	&#8835; 	&#x2283;
? 	&SupersetEqual; 	&#8839; 	&#x2287;
	&suphsub; 		&#x2ad7;
	&suplarr; 		&#x297b;
	&supmult; 		&#x2ac2;
	&supne; 		&#x228b;
	&supnE; 		&#x2acc;
	&supplus; 		&#x2ac0;
	&supset; 		&#x2283;
	&Supset; 		&#x22d1;
? 	&supseteq; 	&#8839; 	&#x2287;
	&supseteqq; 		&#x2ac6;
	&supsetneq; 		&#x228b;
	&supsetneqq; 		&#x2acc;
	&supsim; 		&#x2ac8;
	&supsub; 		&#x2ad4;
	&supsup; 		&#x2ad6;
	&swarhk; 		&#x2926;
	&swarr; 		&#x2199;
	&swArr; 		&#x21d9;
	&swarrow; 		&#x2199;
	&swnwar; 		&#x292a;
ß 	&szlig; 	&#223; 	&#xdf;
	&Tab; 		&#x09;
	&target; 		&#x2316;
t 	&tau; 	&#964; 	&#x03c4;
? 	&Tau; 	&#932; 	&#x03a4;
d 	&tbrk; 	&#948; 	&#x23b4;
	&tcaron; 		&#x0165;
	&Tcaron; 		&#x0164;
	&tcedil; 		&#x0163;
	&Tcedil; 		&#x0162;
	&tcy; 		&#x0442;
	&Tcy; 		&#x0422;
	&tdot; 		&#x20db;
	&telrec; 		&#x2315;
	&Tfr; 		&#x1d517;
	&tfr; 		&#x1d531;
? 	&there4; 	&#8756; 	&#x2234;
? 	&therefore; 	&#8756; 	&#x2234;
? 	&Therefore; 	&#8756; 	&#x2234;
? 	&theta; 	&#952; 	&#x03b8;
T 	&Theta; 	&#920; 	&#x0398;
? 	&thetasym; 	&#977; 	&#x03d1;
? 	&thetav; 	&#977; 	&#x03d1;
˜ 	&thickapprox; 	&#8776; 	&#x2248;
~ 	&thicksim; 	&#8764; 	&#x223c;
? 	&thinsp; 	&#8201; 	&#x2009;
? 	&ThinSpace; 	&#8201; 	&#x2009;
˜ 	&thkap; 	&#8776; 	&#x2248;
~ 	&thksim; 	&#8764; 	&#x223c;
þ 	&thorn; 	&#254; 	&#xfe;
Þ 	&THORN; 	&#222; 	&#xde;
˜ 	&tilde; 	&#732; 	&#x02dc;
~ 	&Tilde; 	&#8764; 	&#x223c;
	&TildeEqual; 		&#x2243;
? 	&TildeFullEqual; 	&#8773; 	&#x2245;
˜ 	&TildeTilde; 	&#8776; 	&#x2248;
× 	&times; 	&#215; 	&#xd7;
	&timesb; 		&#x22a0;
	&timesbar; 		&#x2a31;
	&timesd; 		&#x2a30;
	&tint; 		&#x222d;
	&toea; 		&#x2928;
	&top; 		&#x22a4;
	&topbot; 		&#x2336;
	&topcir; 		&#x2af1;
	&Topf; 		&#x1d54b;
	&topf; 		&#x1d565;
	&topfork; 		&#x2ada;
	&tosa; 		&#x2929;
	&tprime; 		&#x2034;
™ 	&trade; 	&#8482; 	&#x2122;
	&triangle; 		&#x25b5;
	&triangledown; 		&#x25bf;
	&triangleleft; 		&#x25c3;
	&trianglelefteq; 		&#x22b4;
	&triangleq; 		&#x225c;
	&triangleright; 		&#x25b9;
	&trianglerighteq; 		&#x22b5;
	&tridot; 		&#x25ec;
	&trie; 		&#x225c;
	&triminus; 		&#x2a3a;
	&TripleDot; 		&#x20db;
	&triplus; 		&#x2a39;
	&trisb; 		&#x29cd;
	&tritime; 		&#x2a3b;
	&trpezium; 		&#x23e2;
	&Tscr; 		&#x1d4af;
	&tscr; 		&#x1d4c9;
	&TScy; 		&#x0426;
	&tscy; 		&#x0446;
	&tshcy; 		&#x045b;
	&TSHcy; 		&#x040b;
	&tstrok; 		&#x0167;
	&Tstrok; 		&#x0166;
	&twixt; 		&#x226c;
	&twoheadleftarrow; 		&#x219e;
	&twoheadrightarrow; 		&#x21a0;
ú 	&uacute; 	&#250; 	&#xfa;
Ú 	&Uacute; 	&#218; 	&#xda;
? 	&uarr; 	&#8593; 	&#x2191;
? 	&uArr; 	&#8657; 	&#x21d1;
	&Uarr; 		&#x219f;
	&Uarrocir; 		&#x2949;
	&ubrcy; 		&#x045e;
	&Ubrcy; 		&#x040e;
	&ubreve; 		&#x016d;
	&Ubreve; 		&#x016c;
û 	&ucirc; 	&#251; 	&#xfb;
Û 	&Ucirc; 	&#219; 	&#xdb;
	&Ucy; 		&#x0423;
	&ucy; 		&#x0443;
	&udarr; 		&#x21c5;
	&udblac; 		&#x0171;
	&Udblac; 		&#x0170;
	&udhar; 		&#x296e;
	&ufisht; 		&#x297e;
	&Ufr; 		&#x1d518;
	&ufr; 		&#x1d532;
ù 	&ugrave; 	&#249; 	&#xf9;
Ù 	&Ugrave; 	&#217; 	&#xd9;
	&uHar; 		&#x2963;
	&uharl; 		&#x21bf;
	&uharr; 		&#x21be;
	&uhblk; 		&#x2580;
	&ulcorn; 		&#x231c;
	&ulcorner; 		&#x231c;
	&ulcrop; 		&#x230f;
	&ultri; 		&#x25f8;
	&umacr; 		&#x016b;
	&Umacr; 		&#x016a;
¨ 	&uml; 	&#168; 	&#xa8;
	&UnderBar; 		&#x0332;
	&UnderBrace; 		&#x23df;
e 	&UnderBracket; 	&#949; 	&#x23b5;
	&UnderParenthesis; 		&#x23dd;
	&Union; 		&#x22c3;
	&UnionPlus; 		&#x228e;
	&uogon; 		&#x0173;
	&Uogon; 		&#x0172;
	&uopf; 		&#x1d566;
	&Uopf; 		&#x1d54c;
? 	&uparrow; 	&#8593; 	&#x2191;
? 	&Uparrow; 	&#8657; 	&#x21d1;
? 	&UpArrow; 	&#8593; 	&#x2191;
	&UpArrowDownArrow; 		&#x21c5;
	&updownarrow; 		&#x2195;
	&UpDownArrow; 		&#x2195;
	&Updownarrow; 		&#x21d5;
	&UpEquilibrium; 		&#x296e;
	&upharpoonleft; 		&#x21bf;
	&upharpoonright; 		&#x21be;
	&uplus; 		&#x228e;
	&UpperLeftArrow; 		&#x2196;
	&UpperRightArrow; 		&#x2197;
? 	&upsi; 	&#965; 	&#x03c5;
? 	&Upsi; 	&#978; 	&#x03d2;
? 	&upsih; 	&#978; 	&#x03d2;
? 	&upsilon; 	&#965; 	&#x03c5;
? 	&Upsilon; 	&#933; 	&#x03a5;
	&UpTee; 		&#x22a5;
	&UpTeeArrow; 		&#x21a5;
	&upuparrows; 		&#x21c8;
	&urcorn; 		&#x231d;
	&urcorner; 		&#x231d;
	&urcrop; 		&#x230e;
	&uring; 		&#x016f;
	&Uring; 		&#x016e;
	&urtri; 		&#x25f9;
	&uscr; 		&#x1d4ca;
	&Uscr; 		&#x1d4b0;
	&utdot; 		&#x22f0;
	&utilde; 		&#x0169;
	&Utilde; 		&#x0168;
	&utri; 		&#x25b5;
	&utrif; 		&#x25b4;
	&uuarr; 		&#x21c8;
ü 	&uuml; 	&#252; 	&#xfc;
Ü 	&Uuml; 	&#220; 	&#xdc;
	&uwangle; 		&#x29a7;
	&vangrt; 		&#x299c;
e 	&varepsilon; 	&#949; 	&#x03b5;
	&varkappa; 		&#x03f0;
Ø 	&varnothing; 	&#8709; 	&#x2205;
f 	&varphi; 	&#966; 	&#x03c6;
? 	&varpi; 	&#982; 	&#x03d6;
? 	&varpropto; 	&#8733; 	&#x221d;
	&varr; 		&#x2195;
	&vArr; 		&#x21d5;
	&varrho; 		&#x03f1;
? 	&varsigma; 	&#962; 	&#x03c2;
? 	&vartheta; 	&#977; 	&#x03d1;
	&vartriangleleft; 		&#x22b2;
	&vartriangleright; 		&#x22b3;
	&vBar; 		&#x2ae8;
	&Vbar; 		&#x2aeb;
	&vBarv; 		&#x2ae9;
	&vcy; 		&#x0432;
	&Vcy; 		&#x0412;
	&vdash; 		&#x22a2;
	&vDash; 		&#x22a8;
	&Vdash; 		&#x22a9;
	&VDash; 		&#x22ab;
	&Vdashl; 		&#x2ae6;
? 	&vee; 	&#8744; 	&#x2228;
	&Vee; 		&#x22c1;
	&veebar; 		&#x22bb;
	&veeeq; 		&#x225a;
	&vellip; 		&#x22ee;
	&verbar; 		&#x7c;
	&Verbar; 		&#x2016;
	&vert; 		&#x7c;
	&Vert; 		&#x2016;
	&VerticalBar; 		&#x2223;
	&VerticalLine; 		&#x7c;
	&VerticalSeparator; 		&#x2758;
	&VerticalTilde; 		&#x2240;
	&VeryThinSpace; 		&#x200a;
	&vfr; 		&#x1d533;
	&Vfr; 		&#x1d519;
	&vltri; 		&#x22b2;
	&vopf; 		&#x1d567;
	&Vopf; 		&#x1d54d;
? 	&vprop; 	&#8733; 	&#x221d;
	&vrtri; 		&#x22b3;
	&vscr; 		&#x1d4cb;
	&Vscr; 		&#x1d4b1;
	&Vvdash; 		&#x22aa;
	&vzigzag; 		&#x299a;
	&wcirc; 		&#x0175;
	&Wcirc; 		&#x0174;
	&wedbar; 		&#x2a5f;
? 	&wedge; 	&#8743; 	&#x2227;
	&Wedge; 		&#x22c0;
	&wedgeq; 		&#x2259;
P 	&weierp; 	&#8472; 	&#x2118;
	&wfr; 		&#x1d534;
	&Wfr; 		&#x1d51a;
	&wopf; 		&#x1d568;
	&Wopf; 		&#x1d54e;
P 	&wp; 	&#8472; 	&#x2118;
	&wr; 		&#x2240;
	&wreath; 		&#x2240;
	&wscr; 		&#x1d4cc;
	&Wscr; 		&#x1d4b2;
	&xcap; 		&#x22c2;
	&xcirc; 		&#x25ef;
	&xcup; 		&#x22c3;
	&xdtri; 		&#x25bd;
	&xfr; 		&#x1d535;
	&Xfr; 		&#x1d51b;
	&xharr; 		&#x27f7;
	&xhArr; 		&#x27fa;
? 	&xi; 	&#958; 	&#x03be;
? 	&Xi; 	&#926; 	&#x039e;
	&xlarr; 		&#x27f5;
	&xlArr; 		&#x27f8;
	&xmap; 		&#x27fc;
	&xnis; 		&#x22fb;
	&xodot; 		&#x2a00;
	&xopf; 		&#x1d569;
	&Xopf; 		&#x1d54f;
	&xoplus; 		&#x2a01;
	&xotime; 		&#x2a02;
	&xrarr; 		&#x27f6;
	&xrArr; 		&#x27f9;
	&xscr; 		&#x1d4cd;
	&Xscr; 		&#x1d4b3;
	&xsqcup; 		&#x2a06;
	&xuplus; 		&#x2a04;
	&xutri; 		&#x25b3;
	&xvee; 		&#x22c1;
	&xwedge; 		&#x22c0;
ý 	&yacute; 	&#253; 	&#xfd;
Ý 	&Yacute; 	&#221; 	&#xdd;
	&yacy; 		&#x044f;
	&YAcy; 		&#x042f;
	&ycirc; 		&#x0177;
	&Ycirc; 		&#x0176;
	&ycy; 		&#x044b;
	&Ycy; 		&#x042b;
¥ 	&yen; 	&#165; 	&#xa5;
	&yfr; 		&#x1d536;
	&Yfr; 		&#x1d51c;
	&yicy; 		&#x0457;
	&YIcy; 		&#x0407;
	&yopf; 		&#x1d56a;
	&Yopf; 		&#x1d550;
	&yscr; 		&#x1d4ce;
	&Yscr; 		&#x1d4b4;
	&yucy; 		&#x044e;
	&YUcy; 		&#x042e;
ÿ 	&yuml; 	&#255; 	&#xff;
Ÿ 	&Yuml; 	&#376; 	&#x0178;
	&zacute; 		&#x017a;
	&Zacute; 		&#x0179;
	&zcaron; 		&#x017e;
	&Zcaron; 		&#x017d;
	&zcy; 		&#x0437;
	&Zcy; 		&#x0417;
	&zdot; 		&#x017c;
	&Zdot; 		&#x017b;
	&zeetrf; 		&#x2128;
	&ZeroWidthSpace; 		&#x200b;
? 	&zeta; 	&#950; 	&#x03b6;
? 	&Zeta; 	&#918; 	&#x0396;
	&zfr; 		&#x1d537;
	&Zfr; 		&#x2128;
	&zhcy; 		&#x0436;
	&ZHcy; 		&#x0416;
	&zigrarr; 		&#x21dd;
	&zopf; 		&#x1d56b;
	&Zopf; 		&#x2124;
	&zscr; 		&#x1d4cf;
	&Zscr; 		&#x1d4b5;
? 	&zwj; 	&#8205; 	&#x200d;
? 	&zwnj; 	&#8204; 	&#x200c;
